식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
냉면_회냉면_홍어,면 및 만두류,냉면,100g,148,5.81,4.02,22.21,500g
냉이 된장국,국 및 탕류,냉이 된장국,100ml,15,1.3,0.42,1.72,170ml
냉이 된장국,국 및 탕류,냉이 된장국,100ml,16,1.4,0.4,2.11,300ml
냉이 된장국,국 및 탕류,냉이 된장국,100ml,20,2.1,0.43,2.46,320ml
냉이 된장국,국 및 탕류,냉이 된장국,100ml,15,1.3,0.42,1.72,170ml
냉이나물,나물·숙채류,냉이나물,100g,111,5.02,3.07,15.7,60g
냉이나물,나물·숙채류,냉이나물,100ml,33,2.4,0.86,5.44,75ml
냉이초나물,나물·숙채류,냉이초나물,100ml,77,4.2,2.47,12.32,100ml
냉이초나물,나물·숙채류,냉이초나물,100ml,77,4.2,2.47,12.32,100ml
냉채_닭고기,생채·무침류,냉채,100g,90,13.08,1.95,5,240g
냉채_해파리,생채·무침류,냉채,100g,61,4.13,0.93,8.93,150g
넙치(광어)회덮밥_양념장,밥류,넙치(광어)회덮밥,100ml,77,4.27,1.06,12.64,510ml
넙치구이,구이류,넙치구이,100ml,116,13.6,6.33,0.03,114.8
넙치구이,구이류,넙치구이,100ml,116,13.6,6.33,0.03,114.8
노각무침,생채·무침류,노각무침,100ml,66,2.2,2.85,9.58,46.5
노각무침,생채·무침류,노각무침,100ml,66,2.2,2.85,9.58,46.5
낙지전골,찌개 및 전골류,낙지전골,100ml,35,4.19,0.6,3.56,430ml
낙지전골_간편조리세트_낙곱새,찌개 및 전골류,낙지전골,100g,88,5.47,1.64,12.88,923g
낙지찜,찜류,낙지찜,100ml,74,5.47,4.31,3.81,600ml
낙지탕,국 및 탕류,낙지탕,100g,31,4.9,0.53,1.73,600g
낙지탕(맑은탕),국 및 탕류,낙지탕(맑은탕),100ml,16,3,0.16,0.8,600ml
낙지탕(맑은탕),국 및 탕류,낙지탕(맑은탕),100ml,16,3,0.16,0.8,600ml
난자완스,튀김류,난자완스,100ml,198,7.9,13.51,10.16,200ml
난자완스,튀김류,난자완스,100g,173,10.81,10.17,9.57,200g
난자완스,튀김류,난자완스,100ml,194,7.8,13.47,10.36,200ml
내장전골,찌개 및 전골류,내장전골,100ml,58,5.41,2.88,2.89,470ml
내장탕,국 및 탕류,내장탕,100ml,33,2.2,1.98,1.59,609ml
내장탕,국 및 탕류,내장탕,100g,71,5.82,4.52,1.68,600g
냉국_미역,국 및 탕류,냉국,100g,37,0.19,0.67,7.51,350g
냉국_미역_오이,국 및 탕류,냉국,100g,6,0.37,0.15,0.85,350g
냉면_물냉면,면 및 만두류,냉면,100g,66,1.99,0.63,13.12,100g
냉면_물냉면,면 및 만두류,냉면,100ml,96,3.64,0.68,18.29,780ml
냉면_물냉면,면 및 만두류,냉면,100g,55,1.96,0.64,10.31,700g
냉면_비빔냉면,면 및 만두류,냉면,100g,131,3.43,3.61,21.1,100g
낙지 덮밥,밥류,낙지 덮밥,100ml,92,3.8,1.23,16.1,900ml
낙지 덮밥,밥류,낙지 덮밥,100ml,92,3.8,1.23,16.1,900ml
낙지 덮밥,밥류,낙지 덮밥,100ml,92,4.5,1.28,15.44,900ml
낙지 비빔밥,밥류,낙지 비빔밥,100ml,88,4.3,1.31,14.72,900ml
낙지 비빔밥,밥류,낙지 비빔밥,100ml,88,4.3,1.31,14.72,900ml
낙지 비빔밥,밥류,낙지 비빔밥,100ml,88,4.3,1.31,14.72,900ml
낙지 삼겹살 볶음,볶음류,낙지 삼겹살 볶음,100ml,151,9.1,10.55,3.73,255ml
